,Unnamed: 0.1,Unnamed: 0,Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
1,1,2,2640 Greenwich Street,"2640 Greenwich Street, San Francisco, CA 94123",San Francisco,CA,United States,94123.0,Apartment,,Mid-Rise,No,San Francisco,Marina / Pacific Heights,17.0,Units,2019-04-30,1.0,10.52,$,"618,529.41",,A+,0.03372578,Green Street Market Estimate,No,,No,,JLL,,4.0,0.0,,,,,0.05230056,0.04804952,0.04804952,,,Yes,Ballast Investments,,,,,,,,2,1393387,10515000.0,10515000.0,142798,Apartment,2640 Greenwich Street,2019-04-29,1.0,,2640 Greenwich St,BALLAST INVESTMENT,,,,ROSENBLATT FAMILIES,,,,94123.0,618529.4118,14112.0,17.0,15018,0.9999999
2,2,3,87 Chrystie Street,"87 Chrystie Street, New York, NY 10002",New York,NY,United States,10002.0,Apartment,,Mid-Rise,No,New York,Lower East Side,10.0,Units,2019-04-30,1.0,5.5,$,"550,000.00",,B+,0.04074735,Green Street Market Estimate,No,,No,,Avison Young,0.0436,6.0,0.0,1.0,,,,0.05266024,0.05543289,0.05543289,,,Yes,,,,,,,,,3,220953,5500000.0,5500000.0,65410,Apartment,87 Chrystie Street,2019-05-03,1.0,,87 Chrystie St,OKADA AND,,,,CITIRICH REALTY,,,,10002.0,500000.0,10716.0,11.0,5523,0.99999994
3,3,4,102 Bayard Street,"102 Bayard Street, New York, NY 10013",New York,NY,United States,10013.0,Apartment,,Mid-Rise,No,New York,Financial District,18.0,Units,2019-04-30,1.0,5.5,$,"305,555.56",,A+,0.03255926,Green Street Market Estimate,No,,No,,Avison Young,0.0574,5.0,0.0,1.0,,,,0.05266024,0.04856478,0.04774965,,,Yes,,,,,,,,,4,853348,5500000.0,5500000.0,105045,Apartment,102 Bayard Street,2019-05-03,1.0,,102 Bayard St,TANG BROTHER HOLDING,,,,LUKIE LUKE REALTY,,,,10013.0,289473.6842,9125.0,19.0,9616,1.0000001
4,4,5,Marconi Oaks,"4629 Marconi Avenue, Sacramento, CA 95821",Sacramento,CA,United States,95821.0,Apartment,,Garden / Low-Rise,No,Sacramento,Marconi Ave,44.0,Units,2019-04-30,1.0,5.38,$,"122,159.09",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,1.77,2.0,0.0,1.0,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,5,1393885,5375000.0,5375000.0,142858,Apartment,Marconi Oaks Apartments,2019-04-30,1.0,,4629 Marconi Ave,GROUP MANAGEMENT,,,,SPARTAN ENTERPRISES,,,,95821.0,122159.0909,38858.0,44.0,15071,0.85647845
6,6,7,1231 South Bundy Drive,"1231 South Bundy Drive, Los Angeles, CA 90025",Los Angeles,CA,United States,90025.0,Apartment,,Garden / Low-Rise,No,Los Angeles,Westwood / Brentwood,16.0,Units,2019-04-30,1.0,6.7,$,"418,750.00",,A+,0.03302159,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,2.0,0.0,,,,,0.05754025,0.05149741,0.05279233,,,Yes,,,,,,,,,7,1353471,6700000.0,6700000.0,138084,Apartment,1231 South Bundy Drive,2019-04-30,1.0,,1231 S Bundy Dr,BLACKSTONE,,,,ABADY HOLDING,,,,90025.0,418750.0,13907.0,16.0,13283,1.0000001
7,7,8,303 East Alameda Avenue,"303 East Alameda Avenue, Burbank, CA 91502",Burbank,CA,United States,91502.0,Apartment,,Garden / Low-Rise,No,Los Angeles,Burbank / Glendale,20.0,Units,2019-04-30,1.0,8.0,$,"400,000.00",,A-,0.043,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,0.3174,2.0,0.0,1.0,,,,0.05754025,0.05595589,0.0553069,,,Yes,,,,,,,,,8,1264147,5049882.2,5049882.2,127922,Apartment,303 East Alameda Avenue,2019-04-30,1.0,,303 E Alameda Ave,CAPITAL WEST MANAGEMENT,,,,PACIFIC URBAN,,,,91502.0,252494.11,17572.0,20.0,12212,1.0000002
8,8,9,Marconi Village,"5536 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608.0,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,69.0,Units,2019-04-30,1.0,8.65,$,"125,362.32",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,2.63,2.0,0.0,1.0,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,9,1393881,8650000.0,8650000.0,142856,Apartment,Marconi Village Apartments,2019-04-30,1.0,,5536 Marconi Ave,GROUP MANAGEMENT,,,,SPARTAN ENTERPRISES,,,,95608.0,125362.3188,49923.0,69.0,15070,0.9067587
9,9,10,Loma Linda,"5545 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608.0,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,80.0,Units,2019-04-30,1.0,9.74,$,"121,750.00",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,3.76,2.0,0.0,1.0,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,10,1407203,9740000.0,9740000.0,143751,Apartment,Loma Linda Apartments,2019-04-30,1.0,,5545 Marconi Ave,SQUARED TRUST,,,,MK III HOLDING,,,,95608.0,121750.0,72441.0,80.0,15915,0.8530295
10,10,11,Woodland Oak,"4201 49th Street North, St. Petersburg, FL 33709",St. Petersburg,FL,United States,33709.0,Apartment,,Garden / Low-Rise,No,Tampa-St. Petersburg,Pinellas Park / Seminole,90.0,Units,2019-04-30,1.0,10.73,$,"119,166.67",,B+,0.07,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,3.1906,2.0,0.0,7.0,1983.0,2018.0,0.99,0.0607635,0.06446547,0.06630238,,,Yes,,,,,,,,,11,203077,9180000.0,9180000.0,59983,Apartment,Woodland Oaks,2019-04-03,1.0,,724 Cottonwood St,LEFEVER MATTSON,,,,THOMAS AZZALINA JR AND ROBIN L AZZALINA TRUST SANDY T LUI SHERMAN S LUK,,,,95695.0,114750.0,62112.0,80.0,5093,0.9189898
11,11,12,Fillmore Crossing,"3125 Sinton Road, Colorado Springs, CO 80907",Colorado Springs,CO,United States,80907.0,Apartment,,Garden / Low-Rise,No,Colorado Springs,,189.0,Units,2019-04-30,1.0,10.73,$,"56,746.03",,,0.065,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,2.0,0.0,,1972.0,2018.0,0.84,,,,,,Yes,,,,,,,,,12,122708,10725000.0,10725000.0,36125,Apartment,Fillmore Crossing,2019-04-30,1.0,,3125 Sinton Rd,FILLMORE PARTNERS,,,,FILLMORE CROSSING,,,,80907.0,56746.0317,103223.0,189.0,2985,1.0000004
12,12,13,Marconi Gardens East,"4808 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608.0,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,177.0,Units,2019-04-30,1.0,21.38,$,"120,765.54",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,8.0,2.0,0.0,1.0,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,13,562791,21375500.0,21375500.0,87156,Apartment,Marconi Gardens East,2019-04-30,1.0,,4808 Marconi Ave,GROUP MANAGEMENT,,,,MARCONI GARDENS EAST,,,,95608.0,120765.5367,161684.0,177.0,7645,0.9999995
13,13,14,833 Lexington Avenue,"833 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065.0,Apartment,,Mid-Rise,Yes,New York,Upper East Side,6.0,Units,2019-04-30,1.0,7.95,$,"1,325,000.00",,A+,,,No,,No,,Cushman & Wakefield,,5.0,0.0,,,,,0.05266024,0.04899053,0.04707581,,,Yes,Beekman Estate,,,,,,,,14,1394476,7950000.0,7950000.0,142914,Retail,833 Lexington Avenue,2019-04-30,1.0,,833 Lexington Ave,THE BEEKMAN ESTATE,,,,SBP MEDIA,,,,10065.0,1406.5817,5652.0,,15121,0.99999934
14,14,15,Willow Ridge,"3548 Rockbridge Road Southwest, Avondale Estates, GA 30002",Avondale Estates,GA,United States,30002.0,Apartment,,Garden / Low-Rise,No,Atlanta,North DeKalb,156.0,Units,2019-04-30,1.0,12.48,$,"80,000.00",,B+,0.05455192,Annualized,No,,No,,Cushman & Wakefield,,3.0,0.0,,1985.0,2017.0,0.93,0.05534022,0.05401746,0.0514001,,,Yes,Quad Property Group,,,,Walden Group,,,,15,134488,12480000.0,12480000.0,39514,Apartment,Willow Ridge,2019-04-30,1.0,,3548 Rockbridge Rd SW,QUAD PROPERTIES GROUP,,,,COFINANCE,,,,30002.0,80000.0,143366.0,156.0,3255,0.99999946
15,15,16,Orchard Estates,"101 Roxboro Circle, Syracuse, NY 13211",Syracuse,NY,United States,13211.0,Apartment,,Garden / Low-Rise,No,Syracuse,,301.0,Units,2019-04-30,1.0,15.5,$,"51,495.02",,,,,No,,No,,Cushman & Wakefield,,2.0,0.0,,,,,,,,,,Yes,,,,,,,,,16,585842,15500000.0,15500000.0,89873,Apartment,Orchard Estates,2019-04-23,1.0,,125 Roxboro Cir,VINTAGE MANAGEMENT,,,,MORGAN MANAGEMENT,,,,13211.0,51666.6667,,300.0,7976,1.0000004
16,16,17,Crossings at Summerland,"13701 Keelingwood Circle, Woodbridge, VA 22191",Woodbridge,VA,United States,22191.0,Apartment,,Mid-Rise,No,D.C. Metro,Woodbridge,126.0,Units,2019-04-30,1.0,22.2,$,"176,190.48",,B,0.04933753,Green Street Market Estimate,No,,No,,Newmark Group,,4.0,0.0,,2003.0,,,0.05817774,0.06268372,0.06450952,,,Yes,,,,,,,,,17,963735,22200000.0,22200000.0,110924,Apartment,The Crossings at Summerland,2019-04-01,1.0,,13701 Keelingwood Cir,BRAD MARTINSON,,,,FRANKLIN JOHNSTON GROUP,,,,22191.0,176190.4762,122850.0,126.0,10432,0.9777539
17,17,21,18414 Collins Street,"18414 Collins Street, Los Angeles, CA 91356",Los Angeles,CA,United States,91356.0,Apartment,,Garden / Low-Rise,No,Los Angeles,Woodland Hills / Encino,45.0,Units,2019-04-30,1.0,8.5,$,"188,888.89",,A,0.03488978,Green Street Market Estimate,No,,No,,Colliers,1.0009,2.0,0.0,1.0,,,,0.05754025,0.0540398,0.0553069,,,Yes,Empire USA,,,,,,,,21,830592,8500000.0,8500000.0,102709,Apartment,18414 Collins Street,2019-04-30,1.0,,18414 Collins St,EMPIRE USA,,,,SMITH FAMILIES TRUST,,,,91356.0,207317.0732,27262.0,41.0,9363,1.0000007
18,18,22,Terra Creek,"4900 Central Drive, Stone Mountain, GA 30083",Stone Mountain,GA,United States,30083.0,Apartment,,Garden / Low-Rise,No,Atlanta,North DeKalb,196.0,Units,2019-04-30,1.0,10.37,$,"52,892.86",,B+,0.05985167,Green Street Market Estimate,No,,No,,Berkadia,15.7,2.0,0.0,26.0,,,,0.05534022,0.05401746,0.06399963,,,Yes,,,,,,,,,22,163715,10367000.0,10367000.0,48141,Apartment,Terra Creek Apartments,2019-04-30,1.0,,4900 Central Dr,ADAR AT GOLDEN GATE,,,,MSC INVESTMENT,,,,30083.0,53994.7917,207800.0,192.0,4025,0.89519644
19,19,23,Cumberland Court,"2452 Chamblee Tucker Road, Chamblee, GA 30341",Chamblee,GA,United States,30341.0,Apartment,,Garden / Low-Rise,No,Atlanta,Northeast,180.0,Units,2019-04-30,1.0,16.2,$,"90,000.00",,A-,0.0497357,Green Street Market Estimate,No,,No,,Berkadia,17.0,2.0,0.0,24.0,,,,0.05534022,0.05127108,0.05466299,,,Yes,,,,,,,,,23,1405652,16200000.0,16200000.0,143546,Apartment,Cumberland Court,2019-04-30,1.0,,2452 Chamblee Tucker Rd,CC ACQUISITION,,,,CUMBERLAND COURT APARTMENTS,MCFARLAND MANAGEMENT,,,30341.0,90000.0,,180.0,15715,1.0
20,20,27,Solano,"8800 North Interstate Highway 35, Austin, TX 78753",Austin,TX,United States,78753.0,Apartment,,Garden / Low-Rise,No,Austin,Far North Central,504.0,Units,2019-04-30,1.0,45.95,$,"91,170.63",,A-,0.05182194,Green Street Market Estimate,No,,No,,CBRE Group,,2.0,0.0,,,,,0.05280435,0.0570839,0.05880491,,,Yes,Keller Capital,,,,,,,,27,222060,47908000.0,47908000.0,65757,Apartment,Solano,2019-04-30,1.0,,8800 N I-35,KELLER CAPITAL,,,,AVESTA,,,,78753.0,95055.5556,315888.0,504.0,5553,1.0
21,21,29,Residence at Midland,"5801 Deauville Boulevard, Midland, TX 79706",Midland,TX,United States,79706.0,Apartment,,Garden / Low-Rise,No,"Midland, TX",,290.0,Units,2019-04-30,1.0,66.5,$,"229,310.34",,,0.06600779,Annualized,No,,No,,Newmark Group,,3.0,0.0,,2014.0,,0.91,,,,,,Yes,Orion Residential,,,,,,,,29,1380063,67530000.0,67530000.0,141249,Apartment,Residence At Midland,2019-04-25,1.0,,5801 Deauville Blvd,ORION RESIDENTIAL,,,,REAL CAPITAL SOLUTIONS,,,,79706.0,232862.069,323537.0,290.0,13702,1.0000005
22,22,30,North Park at Eagle's Landing,"250 Evergreen Terrace, Stockbridge, GA 30281",Stockbridge,GA,United States,30281.0,Apartment,,Garden / Low-Rise,No,Atlanta,Clayton / Henry,224.0,Units,2019-04-30,1.0,28.0,$,"125,000.00",,C+,0.05940896,Green Street Market Estimate,No,,No,,Cushman & Wakefield,26.03,3.0,0.0,9.0,,,,0.05534022,0.06239398,0.06399963,,,Yes,Independence Realty Trust,,,,Hamilton Point Investments,,,,30,900491,28000000.0,28000000.0,108301,Apartment,North Park at Eagles Landing,2019-04-30,1.0,,250 Evergreen Ter,INDEPENDENCE REALTY TRUST,,,,HAMILTON POINT INVESTMENT,,,,30281.0,125000.0,216545.0,224.0,9969,0.9512594
23,23,32,Laurel Glen,"574 Button Avenue, Manteca, CA 95336",Manteca,CA,United States,95336.0,Apartment,,Garden / Low-Rise,No,Stockton,,152.0,Units,2019-04-30,1.0,34.8,$,"228,947.37",,,,,No,,No,,Marcus & Millichap IPA,,2.0,0.0,,,,,,,,,,Yes,Tilden Properties,,,,JCM Properties,,,,32,577835,34800000.0,34800000.0,88795,Apartment,Laurel Glen,2019-04-30,1.0,,574 Button Ave,TILDEN PROPERTIES,,,,JCM PARTNERS,,,,95336.0,228947.3684,116464.0,152.0,7797,0.99999976
25,25,37,DeSota,"1415 2nd Street, Sarasota, FL 34236",Sarasota,FL,United States,34236.0,Apartment,,Mid-Rise,Yes,"Sarasota, FL",,180.0,Units,2019-04-30,1.0,80.02,$,"444,527.78",,,,,No,,No,,Walker & Dunlop,,10.0,0.0,,,,,,,,,,Yes,Bluerock Residential Growth REIT,,,,Carter Multifamily, Hunt Cos.,,,37,327629,80157500.0,80157500.0,71508,Apartment,The DeSota,2019-04-30,1.0,,1445 2nd St,BLUEROCK REAL ESTATE,,,,CARTER,HUNT,,,34236.0,445319.4444,380465.0,180.0,5973,0.9475543
26,26,38,Cantabria at Turtle Creek,"2728 Hood Street, Dallas, TX 75219",Dallas,TX,United States,75219.0,Apartment,,Mid-Rise,No,Dallas / Fort Worth,Central,249.0,Units,2019-04-30,1.0,63.5,$,"255,020.08",,B+,0.04941132,Green Street Market Estimate,No,,No,,CBRE Group,2.374,9.0,0.0,2.0,2013.0,,,0.05603406,0.05690459,0.05760218,,,Yes,John Hancock Mutual Life Insurance Co.,,,,Brookfield Asset Management, Fairfield Residential,,,38,571857,63500000.0,63500000.0,88164,Apartment,Cantabria at Turtle Creek,2019-04-30,1.0,,2728 Hood St,JOHN HANCOCK REAL ESTATE GROUP,,,,BROOKFIELD AM,FAIRFIELD RESIDENTIAL,,,75219.0,255020.0803,251490.0,249.0,7745,0.99999917
31,31,46,975 Burnett Avenue,"975 Burnett Avenue, San Francisco, CA 94131",San Francisco,CA,United States,94131.0,Apartment,,Mid-Rise,No,San Francisco,West,18.0,Units,2019-04-29,1.0,6.6,$,"366,666.67",,A,0.03617785,Green Street Market Estimate,No,,No,,Colliers,0.1971,4.0,0.0,1.0,,,,0.05230056,0.05061861,0.04990146,,,Yes,Ballast Investments,,,,,,,,46,1394659,6600000.0,6600000.0,142937,Apartment,975 Burnett Avenue,2019-04-29,1.0,,975 Burnett Ave,BALLAST INVESTMENT,,,,TERRY L JARVI,,,,94131.0,366666.6667,16967.0,18.0,15143,1.0000006
34,34,52,Hickory Creek,"2344 Hickory Creek Drive, Richmond, VA 23294",Richmond,VA,United States,23294.0,Apartment,,,No,Richmond,Innsbrook / West End,294.0,Units,2019-04-29,1.0,45.6,$,"155,102.04",,B+,0.05743989,Green Street Market Estimate,No,,No,,Colliers,,,0.0,,,,,0.06412311,0.06077887,0.06552878,,,Yes,Capital Square 1031,,,,Artemis Real Estate Partners, McCann Realty Partners,,,52,96279,45600000.0,45600000.0,28229,Apartment,Hickory Creek ,2019-04-23,1.0,,2344 Hickory Creek Dr,CAPITAL SQUARE 1031,,,,MCCANN REALTY PARTNERS,ARTEMIS REAL ESTATE PARTNERS,,,23294.0,155102.0408,274008.0,294.0,2357,1.0000005
35,35,53,Cambridge Oxford,"32 High Street, New Haven, CT 06511",New Haven,CT,United States,6511.0,Apartment,,Mid-Rise,No,New Haven,,85.0,Units,2019-04-29,1.0,25.15,$,"295,882.35",,,,,No,,No,,Marcus & Millichap IPA,,6.0,0.0,,,,,,,,,,Yes,Paredim Partners,,,,East River Partners,,,,53,1236855,25150000.0,25150000.0,124784,Apartment,Cambridge Oxford,2019-04-29,1.0,,32 High St,PAREDIM PARTNERS,,,,EAST RIVER PARTNERS,,,,6510.0,299404.7619,,84.0,11925,0.99999934
36,36,54,554 Fourth Avenue,"554 4th Avenue, Brooklyn, NY 11215",Brooklyn,NY,United States,11215.0,Apartment,,High-Rise,Yes,New York,Park Slope,40.0,Units,2019-04-29,1.0,29.6,$,"740,000.00",,A+,0.03255926,Green Street Market Estimate,No,,No,,,,11.0,0.0,,,,,0.05266024,0.04789049,0.04707581,,,Yes,Spruce Capital Partners,,,,Brookland Capital,,,,54,1390894,29600000.0,29600000.0,142525,Apartment,544 Fourth Avenue,2019-04-22,1.0,residential bulk condo,544 4th Ave,SPRUCE CAPITAL PARTNERS,,,,BROOKLAND CAPITAL,,,,11215.0,740000.0,,40.0,14776,0.88950366
37,37,55,242 Tenth Avenue,"242 10th Avenue, New York, NY 10001",New York,NY,United States,10001.0,Apartment,,Mid-Rise,No,New York,Midtown West,6.0,Units,2019-04-26,1.0,7.6,$,"1,266,666.67",,A,0.04074735,Green Street Market Estimate,No,,No,,JLL,,4.0,0.0,,,,,0.05266024,0.04904983,0.05543289,,,Yes,,,,,,,,,55,1393970,7600000.0,7600000.0,142871,Retail,242 10th Avenue,2019-04-23,1.0,,242 10th Ave,GREENWICH VILLAGE CAPITAL,,,,CHELSEA 327,,,,10001.0,1324.5033,5738.0,,15081,0.9395016
38,38,56,131 Elm Street,"131 Elm Street, San Mateo, CA 94401",San Mateo,CA,United States,94401.0,Apartment,,Garden / Low-Rise,No,San Francisco,San Mateo,20.0,Units,2019-04-26,1.0,11.5,$,"575,000.00",,A+,0.04203625,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,0.3099,2.0,0.0,1.0,,,,0.05230056,0.04873407,0.05242426,,,Yes,,,,,,,,,56,1280821,11500000.0,11500000.0,130453,Apartment,131 Elm Street,2019-04-26,1.0,,131 Elm St,GUIDO AND LETIZIA FRESCHET1986 TRUST,,,,MICHAEL KELLY,,,,94401.0,575000.0,17369.0,20.0,12446,1.0000002
39,39,57,West Town Court,"8400 West Virginia Avenue, Phoenix, AZ 85037",Phoenix,AZ,United States,85037.0,Apartment,,Garden / Low-Rise,No,Phoenix,West Valley,274.0,Units,2019-04-26,1.0,42.0,$,"153,284.67",,B+,0.047,As Reported,No,,No,,CBRE Group,16.0318,2.0,0.0,40.0,,,0.92,0.05236236,0.05427752,0.05697936,,,Yes,Goodman Real Estate,,,,InterCapital Group,,,,57,652395,42000000.0,42000000.0,92979,Apartment,West Town Court,2019-04-26,1.0,,8400 W Virginia Ave,GOODMAN REAL ESTATE,,,,INTERCAPITAL,CITYMARK CAPITAL,,,85037.0,153284.6715,307623.0,274.0,8278,1.0000004
41,41,60,Prairie Pines at the Ridge,"3401 Harvest Hills Avenue, Williston, ND 58801",Williston,ND,United States,58801.0,Apartment,,Garden / Low-Rise,No,Other,,330.0,Units,2019-04-26,1.0,32.15,$,"97,424.24",,,,,No,,No,,CBRE Group,,3.0,0.0,,,,,,,,,,Yes,Weidner Apartment Homes,,,,,,,,60,1152129,32150000.0,32150000.0,112112,Apartment,Prairie Pines at the Ridge Apartments,2019-04-26,1.0,,3401 Harvest Hills Ave,WEIDNER APT HOMES,,,,KKR,CONTINUUM PARTNERS,,,58801.0,97424.2424,327348.0,330.0,10755,0.912092
42,42,61,Bristol Square,"1720 John West Road, Dallas, TX 75228",Dallas,TX,United States,75228.0,Apartment,,Garden / Low-Rise,No,Dallas / Fort Worth,South White Rock / I-30,341.0,Units,2019-04-26,1.0,26.2,$,"76,832.84",,B+,0.05612164,Green Street Market Estimate,No,,No,,JLL,,3.0,0.0,,,,,0.05603406,0.05847198,0.06122478,,,Yes,WindMass Capital,,,,McGuire Family Properties,,,,61,64767,25575000.0,25575000.0,18683,Apartment,Bristol Square Apartments,2019-04-26,1.0,,1720 John West Rd,WINDMASS CAPITAL,,,,MCGUIRE FAMILIES,,,,75228.0,75000.0,235191.0,341.0,1549,0.88199055
44,44,64,Park at Buckingham,"114 Aspen Circle, Homewood, AL 35209",Homewood,AL,United States,35209.0,Apartment,,Garden / Low-Rise,No,Birmingham,,585.0,Units,2019-04-26,1.0,37.43,$,"63,981.20",,,,,Yes,,No,,Cushman & Wakefield,,3.0,0.0,,,,,,,,,,Yes,Contour Development,,,,Goff Capital Partners,,,,64,23963,37429000.0,37429000.0,6610,Apartment,The Park at Buckingham,2019-04-26,1.0,,114 Aspen Cr,CONTOUR DEVELOPMENT GROUP,,,,CRESCENT,,,,35209.0,63981.1966,534526.0,585.0,523,0.9676315
45,45,65,Park at Carlyle,"200 Robert Jemison Drive, Birmingham, AL 35209",Birmingham,AL,United States,35209.0,Apartment,,Garden / Low-Rise,No,Birmingham,,649.0,Units,2019-04-26,1.0,25.97,$,"40,018.49",,,,,Yes,,No,,Cushman & Wakefield,,2.0,0.0,,,,,,,,,,Yes,Contour Development,,,,Goff Capital Partners,,,,65,78646,30129250.0,30129250.0,22951,Apartment,The Park at Carlyle,2019-04-26,1.0,,200 Robert Jemison Rd,CONTOUR DEVELOPMENT GROUP,,,,CRESCENT,,,,35209.0,46424.114,500465.0,649.0,1889,0.95711374
46,46,66,Park at Callington,"700 Aspen Drive, Birmingham, AL 35209",Birmingham,AL,United States,35209.0,Apartment,,Garden / Low-Rise,No,Birmingham,,604.0,Units,2019-04-26,1.0,30.13,$,"49,882.45",,,,,Yes,,No,,Cushman & Wakefield,,2.0,0.0,,,,,,,,,,Yes,Contour Development,,,,Goff Capital Partners,,,,66,198302,25972000.0,25972000.0,58584,Apartment,Park at Callington,2019-04-26,1.0,,700 Aspen Dr,CONTOUR DEVELOPMENT GROUP,,,,CRESCENT,,,,35209.0,43000.0,515876.0,604.0,4955,0.9999994
47,47,69,2474 Valentine Avenue,"2474 Valentine Avenue, Bronx, NY 10458",Bronx,NY,United States,10458.0,Apartment,,Mid-Rise,No,New York,Bronx County,54.0,Units,2019-04-25,1.0,9.6,$,"177,777.78",,B-,,,No,,No,,Rosewood Realty Group,0.3104,0.0,0.0,1.0,,,,0.05266024,0.05995696,0.05883195,,,Yes,,,,,,,,,69,100640,9600000.0,9600000.0,29524,Apartment,2474 Valentine Avenue,2019-05-08,1.0,,2474 Valentine Ave,2474 VALENTINE,,,,MORGAN GROUP,,,,10458.0,177777.7778,44590.0,54.0,2470,1.0
48,48,70,Fairways at Hartland,"850 Wilkinson Trace, Bowling Green, KY 42103",Bowling Green,KY,United States,42103.0,Apartment,,Garden / Low-Rise,No,"Elizabethtown-Fort Knox, KY",,240.0,Units,2019-04-25,1.0,24.6,$,"102,500.00",,,0.06231914,Trailing 12 months,No,,No,,Cushman & Wakefield,,3.0,0.0,,1996.0,,0.89,,,,,,Yes,Covenant Capital Group,,,,McDowell Properties,,,,70,503987,24600000.0,24600000.0,82099,Apartment,Fairways at Hartland,2019-04-25,1.0,,850 Wilkinson Trace,COVENANT CAPITAL GROUP,,,,ANGELO GORDON,MCDOWELL PROPERTIES,,,42103.0,102500.0,251040.0,240.0,7099,0.99999946
49,49,71,Georgetown of Kettering,"4889 Far Hills Avenue, Dayton, OH 45429",Dayton,OH,United States,45429.0,Apartment,,Garden / Low-Rise,No,Dayton,,325.0,Units,2019-04-25,1.0,20.1,$,"61,846.15",,,,,No,,No,,Berkadia,,2.0,0.0,,1965.0,,,,,,,,Yes,Monarch Investment & Management Group,,,,,,,,71,784054,20100000.0,20100000.0,98875,Apartment,Georgetown of Kettering,2019-04-25,1.0,,4889 Far Hills Ave,NRES MANAGEMENT,,,,APOLLO PROPERTIES MANAGEMENT,,,,45429.0,61846.1538,336000.0,325.0,8960,0.9999998
50,50,72,Arbors At Hickory Creek,"4791 Hickory Creek Drive, Richton Park, IL 60471",Richton Park,IL,United States,60471.0,Apartment,,Garden / Low-Rise,No,Chicago,South Cook County,176.0,Units,2019-04-25,1.0,11.45,$,"65,056.82",,C+,0.05863959,Green Street Market Estimate,No,,No,,CBRE Group,,2.0,0.0,,,,,0.06305658,0.07079557,0.07179841,,,Yes,Peak Capital Partners,,,,,,,,72,1393131,11450000.0,11450000.0,142770,Apartment,The Arbors at Hickory Creek,2019-04-25,1.0,,4791 Hickory Creek Dr,PEAK CAPITAL PARTNERS,,,,THE MICHAELS ORG,,,,60471.0,65056.8182,175544.0,176.0,14994,0.9771523
51,51,73,Century at the Ballpark,"1110 Ballpark Lane, Lawrenceville, GA 30043",Lawrenceville,GA,United States,30043.0,Apartment,,Garden / Low-Rise,No,Atlanta,Gwinnett,248.0,Units,2019-04-25,1.0,42.7,$,"172,177.42",,B+,0.04955801,Annualized,No,,No,,Walker & Dunlop,,3.0,0.0,,2013.0,,0.94,0.05534022,0.05545358,0.05466299,,,Yes,Centennial Holding Co.,,,,B&M Management,,,,73,1191845,42700000.0,42700000.0,118597,Apartment,Century At The Ballpark,2019-04-25,1.0,,1110 Ballpark Ln,CENTENNIAL HOLDING,,,,B AND M MANAGEMENT,,,,30043.0,172177.4194,218583.0,248.0,11318,0.99999934
